[2024-11-11T15:36:52.638+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-11-11T15:36:52.649+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: molecule_load_dag.load_op manual__2024-11-11T15:36:37.499270+00:00 [queued]>
[2024-11-11T15:36:52.655+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: molecule_load_dag.load_op manual__2024-11-11T15:36:37.499270+00:00 [queued]>
[2024-11-11T15:36:52.655+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-11-11T15:36:52.664+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_op> on 2024-11-11 15:36:37.499270+00:00
[2024-11-11T15:36:52.671+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'molecule_load_dag', 'load_op', 'manual__2024-11-11T15:36:37.499270+00:00', '--job-id', '111', '--raw', '--subdir', 'DAGS_FOLDER/etl_dag.py', '--cfg-path', '/tmp/tmpx1ply363']
[2024-11-11T15:36:52.673+0000] {standard_task_runner.py:91} INFO - Job 111: Subtask load_op
[2024-11-11T15:36:52.673+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=220) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-11-11T15:36:52.675+0000] {standard_task_runner.py:64} INFO - Started process 221 to run task
[2024-11-11T15:36:52.706+0000] {task_command.py:426} INFO - Running <TaskInstance: molecule_load_dag.load_op manual__2024-11-11T15:36:37.499270+00:00 [running]> on host f1def9266cea
[2024-11-11T15:36:52.764+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='molecule_load_dag' AIRFLOW_CTX_TASK_ID='load_op' AIRFLOW_CTX_EXECUTION_DATE='2024-11-11T15:36:37.499270+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-11-11T15:36:37.499270+00:00'
[2024-11-11T15:36:52.765+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-11-11T15:36:52.779+0000] {base.py:84} INFO - Using connection ID 'aws_connection' for task execution.
[2024-11-11T15:36:53.797+0000] {logging_mixin.py:188} INFO - ace-scarab-434612-r8processed_news_datasetnews_strings_data
[2024-11-11T15:36:53.804+0000] {connection.py:274} WARNING - Connection schemes (type: google_cloud_platform) shall not contain '_' according to RFC3986.
[2024-11-11T15:36:53.806+0000] {base.py:84} INFO - Using connection ID 'gc_connection' for task execution.
[2024-11-11T15:36:56.952+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-11-11T15:36:57.248+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-11-11T15:36:57.493+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-11-11T15:36:57.743+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-11-11T15:36:58.053+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-11-11T15:36:58.304+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-11-11T15:36:58.562+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-11-11T15:36:58.828+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-11-11T15:36:59.079+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-11-11T15:36:59.526+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-11-11T15:36:59.776+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-11-11T15:37:00.052+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-11-11T15:37:00.440+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-11-11T15:37:00.713+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
