[2024-12-02T15:30:52.165+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-12-02T15:30:52.177+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: news_dag.load_op manual__2024-12-02T15:30:23.538497+00:00 [queued]>
[2024-12-02T15:30:52.184+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: news_dag.load_op manual__2024-12-02T15:30:23.538497+00:00 [queued]>
[2024-12-02T15:30:52.184+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-12-02T15:30:52.193+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_op> on 2024-12-02 15:30:23.538497+00:00
[2024-12-02T15:30:52.201+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'news_dag', 'load_op', 'manual__2024-12-02T15:30:23.538497+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/etl_dag.py', '--cfg-path', '/tmp/tmpto1tlyc3']
[2024-12-02T15:30:52.203+0000] {standard_task_runner.py:91} INFO - Job 5: Subtask load_op
[2024-12-02T15:30:52.203+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=590) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2024-12-02T15:30:52.205+0000] {standard_task_runner.py:64} INFO - Started process 599 to run task
[2024-12-02T15:30:52.234+0000] {task_command.py:426} INFO - Running <TaskInstance: news_dag.load_op manual__2024-12-02T15:30:23.538497+00:00 [running]> on host a1d40e089ba1
[2024-12-02T15:30:52.287+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='news_dag' AIRFLOW_CTX_TASK_ID='load_op' AIRFLOW_CTX_EXECUTION_DATE='2024-12-02T15:30:23.538497+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-12-02T15:30:23.538497+00:00'
[2024-12-02T15:30:52.288+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-12-02T15:30:52.304+0000] {base.py:84} INFO - Using connection ID 'aws_connection' for task execution.
[2024-12-02T15:30:53.547+0000] {connection.py:274} WARNING - Connection schemes (type: google_cloud_platform) shall not contain '_' according to RFC3986.
[2024-12-02T15:30:53.548+0000] {base.py:84} INFO - Using connection ID 'gc_connection' for task execution.
[2024-12-02T15:31:01.164+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-12-02T15:31:01.448+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-12-02T15:31:01.713+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-12-02T15:31:01.998+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-12-02T15:31:02.255+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-12-02T15:31:02.511+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-12-02T15:31:02.769+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-12-02T15:31:03.035+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-12-02T15:31:03.301+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-12-02T15:31:03.549+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-12-02T15:31:03.803+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-12-02T15:31:04.065+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
[2024-12-02T15:31:04.334+0000] {logging_mixin.py:188} INFO - Errors occurred while inserting rows: [{'index': 0, 'errors': [{'reason': 'invalid', 'location': 'news_string', 'debugInfo': '', 'message': 'no such field: news_string.'}]}]
